State / Union Territory,Year,Region,SO2 (Annual Average),NO2 (Annual Average),PM10 (Annual Average),PM2.5 (Annual Average)
"Andhra Pradesh",2022,"South",7.2,19.6,71.3,34.3
"Arunachal Pradesh",2022,"Northeast",15.0,11.5,57.5,23.0
"Assam",2022,"Northeast",8.7,14.1,94.0,44.6
"Bihar",2022,"East",8.3,33.5,176.6,80.6
"Chhattisgarh",2022,"Central",9.4,17.8,68.3,29.6
"Goa",2022,"West",5.5,14.0,62.7,27.4
"Gujarat",2022,"West",15.0,20.4,99.0,38.6
"Haryana",2022,"North",9.6,29.5,166.2,72.0
"Himachal Pradesh",2022,"North",2.5,9.6,71.6,30.0
"Jharkhand",2022,"East",12.0,25.0,150.0,70.0
"Karnataka",2022,"South",10.0,20.0,90.0,40.0
"Kerala",2022,"South",8.0,15.0,60.0,25.0
"Madhya Pradesh",2022,"Central",12.0,25.0,130.0,60.0
"Maharashtra",2022,"West",12.5,28.4,96.3,42.8
"Manipur",2022,"Northeast",4.8,10.0,75.0,41.0
"Meghalaya",2022,"Northeast",8.1,10.9,60.2,28.0
"Mizoram",2022,"Northeast",2.0,4.8,31.6,10.0
"Nagaland",2022,"Northeast",14.5,5.5,8.3,33.0
"Odisha",2022,"East",9.7,18.5,108.0,48.7
"Punjab",2022,"North",6.0,16.5,93.5,-
"Rajasthan",2022,"North",7.6,23.0,132.0,49.5
"Sikkim",2022,"Northeast",8.8,5.8,38.3,16.0
"Tamil Nadu",2022,"South",14.3,18.1,57.5,25.7
"Telangana",2022,"South",13.0,23.5,82.5,38.0
"Tripura",2022,"Northeast",6.0,12.0,50.0,25.0
"Uttarakhand",2022,"North",2.0,8.0,80.0,40.0
"Uttar Pradesh",2022,"North",10.0,30.0,150.0,70.0
"West Bengal",2022,"East",12.0,25.0,120.0,60.0
"Andaman & Nicobar Islands",2022,"East",-, -,22,-
"Chandigarh",2022,"North",7,27,113,57
"Dadra & Nagar Haveli",2022,"West",-, -, -, -
"Daman & Diu",2022,"West",-, -, -, -
"Delhi",2022,"North",9,41,207,98
"Jammu & Kashmir",2022,"North",11.0,22.0,85.0,42.0
"Ladakh",2022,"North",-, -, -, -
"Lakshadweep",2022,"South",-, -, -, -
"Puducherry",2022,"South",10.0,20.0,70.0,30.0
"Andhra Pradesh",2021,"South",7.0,17.0,66.0,29.0
